제목,날짜,방송 개수,총 시청자수,회차
1일차,2025년 06월 10일,418,"29,487",3차
2일차,2025년 06월 11일,473,"37,835",1차
2일차,2025년 06월 11일,433,"24,351",2차
2일차,2025년 06월 11일,453,"22,606",3차
3일차,2025년 06월 12일,484,"30,006",1차
3일차,2025년 06월 12일,469,"20,508",2차
3일차,2025년 06월 12일,325,"10,976",3차
4일차,2025년 06월 13일,446,"27,742",1차
4일차,2025년 06월 13일,465,"19,780",2차
4일차,2025년 06월 13일,455,"14,268",3차
5일차,2025년 06월 14일,480,"36,001",1차
5일차,2025년 06월 14일,470,"23,274",2차
5일차,2025년 06월 14일,475,"21,414",3차
6일차,2025년 06월 15일,477,"50,580",1차
6일차,2025년 06월 15일,458,"41,657",2차
6일차,2025년 06월 15일,442,"43,113",3차
7일차,2025년 06월 16일,438,"32,738",1차
7일차,2025년 06월 16일,428,"33,991",2차
7일차,2025년 06월 16일,420,"26,573",3차
